问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,74,12,P:System.Windows.Forms.ButtonBase.UseVisualStyleBackColor,,,,,this.CloseButton.UseVisualStyleBackColor = true;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,73,12,T:System.Windows.Forms.Button,,,,,"this.CloseButton.Text = ""Close"";"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,73,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"this.CloseButton.Text = ""Close"";"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,72,12,T:System.Windows.Forms.Button,,,,,this.CloseButton.TabIndex = 1;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,72,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.CloseButton.TabIndex = 1;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,71,12,T:System.Windows.Forms.Button,,,,,"this.CloseButton.Size = new System.Drawing.Size(75, 23);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,71,12,P:System.Windows.Forms.Control.Size,,,,,"this.CloseButton.Size = new System.Drawing.Size(75, 23);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,70,12,T:System.Windows.Forms.Button,,,,,"this.CloseButton.Name = ""CloseButton"";"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,70,12,P:System.Windows.Forms.Control.Name,,,,,"this.CloseButton.Name = ""CloseButton"";"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,69,12,T:System.Windows.Forms.Button,,,,,"this.CloseButton.Location = new System.Drawing.Point(334, 454);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,69,12,P:System.Windows.Forms.Control.Location,,,,,"this.CloseButton.Location = new System.Drawing.Point(334, 454);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,65,12,T:System.Windows.Forms.PropertyGrid,,,,,this.propertyGrid1.TabIndex = 0;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.Designer.cs,65,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.propertyGrid1.TabIndex = 0;
